group_feature,group_value,applicants,avg_default_probability,high_risk_rate,observed_default_rate
CODE_GENDER,M,851,0.4425,0.3278,0.1163
CODE_GENDER,F,1649,0.3685,0.2177,0.071
NAME_EDUCATION_TYPE,Lower secondary,37,0.4304,0.3514,0.0541
NAME_EDUCATION_TYPE,Incomplete higher,78,0.4608,0.3333,0.0513
NAME_EDUCATION_TYPE,Secondary / secondary special,1747,0.4162,0.2902,0.0967
NAME_EDUCATION_TYPE,Higher education,634,0.3216,0.1435,0.0647
NAME_FAMILY_STATUS,Single / not married,365,0.4398,0.3425,0.1123
NAME_FAMILY_STATUS,Civil marriage,243,0.4432,0.3169,0.107
NAME_FAMILY_STATUS,Separated,169,0.3936,0.2604,0.0828
NAME_FAMILY_STATUS,Married,1596,0.3792,0.2325,0.0783
NAME_FAMILY_STATUS,Widow,127,0.3495,0.1654,0.0787
NAME_INCOME_TYPE,Working,1312,0.4312,0.3186,0.1075
NAME_INCOME_TYPE,Commercial associate,576,0.3734,0.2188,0.0799
NAME_INCOME_TYPE,State servant,169,0.3296,0.1598,0.0651
NAME_INCOME_TYPE,Pensioner,443,0.3336,0.1512,0.0406
