threshold,accuracy,precision,recall,f1
0.1,0.12044940897192007,0.08372873313902257,0.9951661631419939,0.15446175969489034
0.15,0.1964457018356828,0.09004057543341941,0.9832829808660625,0.16497423333614936
0.2,0.2859535307220786,0.09845157831797283,0.9617321248741189,0.17861818725919276
0.25,0.37887582719542134,0.10867517543446521,0.9295065458207452,0.1945984693554848
0.3,0.4643513324553274,0.1207677085309984,0.8972809667673716,0.2128828785779137
0.35,0.5433230899305725,0.13440010119537033,0.8559919436052367,0.23232295624128788
0.4,0.6137586784384501,0.14951876445571888,0.8072507552870091,0.25230556167574203
0.45,0.6751865762645725,0.16613290632506006,0.7522658610271903,0.27216089190075415
0.5,0.7300294294587256,0.18531336181257774,0.6902316213494462,0.2921817716770398
0.55,0.778124644326293,0.20757259314154822,0.6205438066465256,0.3110864297253635
0.6,0.8183503243744208,0.2312288906209405,0.5377643504531722,0.3234011627906977
0.65,0.85317789376128,0.2619187068056694,0.4503524672708963,0.33121019108280253
0.7,0.8807537843682423,0.30268199233716475,0.3659617321248741,0.33132749817651347
0.75,0.9009966993479993,0.3518713758566157,0.2688821752265861,0.3048293184153442
0.8,0.913028632749622,0.4085714285714286,0.172809667673716,0.24288747346072187
0.85,0.9187681901695852,0.4823261117445838,0.08519637462235649,0.14481342006162273
0.9,0.9200526803570558,0.6276595744680851,0.023766364551863043,0.04579856394333398
